ds,y
V2,2938.63
V3,2956.44
V4,2964.41
V5,2972.41
V6,3014.97
V7,3014.23
V8,3024.08
V9,3031.97
V10,3062.7
V11,3057.19
V12,3063.93
V13,3068.45
V14,3072.98
V15,3431.69
V16,3436.86
V17,3441.45
V18,3446.05
V19,3454.46
V20,3459.42
V21,3463.44
V22,3467.3
V23,3485.64
V24,3475.19
V25,3478.89
V26,3482.34
V27,3486.01
V28,4087.11
V29,4092.18
V30,4096.39
V31,4100.62
V32,4106.51
V33,4111.35
V34,4115.66
V35,4119.77
V36,4139.93
V37,4130.28
V38,4135.06
V39,4139.71
V40,4145.03
V41,3920.15
V42,3990.62
V43,3993.84
V44,3520.12
V45,3538.05
V46,3525.42
V47,3528.37
V48,3530.95
V49,3554.46
V50,3543.37
V51,3547.85
V52,3551.94
V53,3555.81
V54,3946.24
V55,3950.03
V56,3954.77
V57,2682.61
V58,2740.91
V59,2740.91
V60,2740.91
V61,2740.91
V62,2793.43
V63,2793.43
V64,2793.43
V65,2793.43
V66,2793.43
V67,3460.19
V68,3927.06
V69,4363.58
V70,4366.82
V71,4397.12
V72,4405.22
V73,4408.33
V74,4411.21
V75,4436.47
V76,4444.49
V77,4447.26
V78,4450.29
V79,4453.69
V80,4618.39
V81,4624.01
V82,4627.16
V83,4630.32
V84,4663.52
V85,4672.88
V86,4676.28
V87,4679.36
V88,4682.69
V89,4720.34
V90,4724.02
V91,4727.64
V92,4731.26
V93,4883.14
V94,4890.45
V95,4897.19
V96,4903.86
V97,4962.9
V98,4974.44
V99,4979.23
V100,4982.22
V101,4987.42
V102,5047.36
V103,5055.35
V104,5064.51
V105,5072.39
V106,5167.9
V107,5186.26
V108,5194.72
V109,5202.27
V110,5212.74
V111,5316.69
V112,5329.79
V113,5337.23
V114,5344.61
V115,5412.28
V116,5418.27
V117,5421.92
V118,5425.62
V119,5460.38
V120,5471.89
V121,5476.06
V122,5480.27
V123,5518.38
V124,5528.84
V125,5532.76
V126,5536.5
V127,5539.52
V128,5572.27
V129,5574.41
V130,5577.05
V131,5579.69
V132,5613.82
V133,5617.2
V134,5619.82
V135,5622.31
V136,5649.76
V137,5659.84
V138,5662.81
V139,5665.26
V140,5667.78
V141,5698.64
V142,5701.33
V143,5703.52
V144,5705.72
V145,5752.92
V146,5759.42
V147,5763.29
V148,5766.11
V149,5794.41
V150,5804.67
V151,5807.62
V152,5809.72
V153,5812.34
V154,5856.21
V155,5862.01
V156,5865.27
V157,5868.55
