ds,y
V2,1092.0
V3,1078.0
V4,1064.0
V5,1050.0
V6,1036.0
V7,1022.0
V8,1008.0
V9,1092.0
V10,1078.0
V11,1064.0
V12,1050.0
V13,1036.0
V14,1022.0
V15,1092.0
V16,1079.0
V17,1064.0
V18,1050.0
V19,1036.0
V20,1022.0
V21,1092.0
V22,1078.0
V23,1064.0
V24,1092.0
V25,1078.0
V26,1065.0
V27,1092.0
V28,1078.0
V29,1064.0
V30,1050.0
V31,1036.0
V32,1022.0
V33,1092.0
V34,1078.0
V35,1064.0
V36,1050.0
V37,1092.0
V38,1078.0
V39,1064.0
V40,1050.0
V41,1092.0
V42,1078.0
V43,1065.0
V44,1050.0
V45,1036.0
V46,1093.0
V47,1078.0
V48,1064.0
V49,1050.0
V50,1092.0
V51,1078.0
V52,1064.0
V53,1050.0
V54,1092.0
V55,1078.0
V56,1064.0
V57,1050.0
V58,1036.0
V59,1092.0
V60,1078.0
V61,1176.0
V62,1148.0
V63,1120.0
V64,1092.0
V65,1064.0
V66,1036.0
V67,1009.0
V68,980.0
V69,952.0
V70,924.0
V71,896.0
V72,868.0
V73,840.0
V74,812.0
V75,784.0
V76,756.0
V77,729.0
V78,1246.0
V79,1218.0
V80,1190.0
V81,1162.0
V82,1134.0
V83,1106.0
V84,1078.0
V85,1050.0
V86,1022.0
V87,994.0
V88,966.0
V89,938.0
V90,910.0
V91,1064.0
V92,1036.0
V93,1008.0
V94,980.0
V95,952.0
V96,924.0
V97,896.0
V98,868.0
V99,840.0
V100,812.0
V101,784.0
V102,756.0
V103,728.0
V104,1064.0
V105,1036.0
V106,1008.0
V107,980.0
V108,952.0
V109,924.0
V110,896.0
V111,868.0
V112,840.0
V113,812.0
V114,784.0
V115,756.0
V116,728.0
V117,1064.0
V118,1036.0
V119,1008.0
V120,980.0
V121,952.0
V122,924.0
V123,896.0
V124,868.0
V125,840.0
V126,812.0
V127,784.0
V128,756.0
V129,728.0
V130,1246.0
V131,1218.0
V132,1190.0
V133,1162.0
V134,1134.0
V135,1106.0
V136,1078.0
V137,1050.0
V138,1022.0
V139,994.0
V140,966.0
V141,938.0
V142,910.0
V143,882.0
V144,854.0
V145,826.0
V146,798.0
V147,770.0
V148,742.0
V149,1260.0
V150,1232.0
V151,1204.0
V152,1176.0
V153,1148.0
V154,1120.0
V155,1092.0
V156,1610.0
V157,1582.0
V158,1554.0
V159,1526.0
V160,1498.0
V161,1470.0
V162,1442.0
V163,1414.0
V164,1386.0
V165,1358.0
V166,1330.0
V167,1302.0
V168,1274.0
V169,1246.0
V170,1218.0
