ds,y
V2,1091.3
V3,1088.5
V4,1085.7
V5,1082.9
V6,1080.1
V7,1077.3
V8,1074.5
V9,1071.7
V10,1068.9
V11,1066.1
V12,1063.3
V13,1060.5
V14,1057.7
V15,1054.9
V16,1052.1
V17,1049.3
V18,1046.5
V19,1043.7
V20,1040.9
V21,1038.1
V22,1035.3
V23,1032.5
V24,1029.7
V25,1025.5
V26,1022.7
V27,1019.9
V28,1017.1
V29,1014.3
V30,1011.5
V31,1008.7
V32,1005.9
V33,1003.1
V34,1000.3
V35,997.5
V36,994.7
V37,991.9
V38,989.1
V39,986.3
V40,983.5
V41,980.7
V42,977.9
V43,975.1
V44,972.4
V45,969.5
V46,966.7
V47,963.9
V48,961.1
V49,958.3
V50,955.5
V51,952.7
V52,949.9
V53,947.1
V54,1119.3
V55,1117.9
V56,1115.1
V57,1112.3
V58,1109.5
V59,1106.7
V60,1103.9
V61,1101.1
V62,1098.3
V63,1095.5
V64,1092.7
V65,1089.9
V66,1087.1
V67,1084.3
V68,1081.5
V69,1078.7
V70,1075.9
V71,1073.1
V72,1070.3
V73,1067.5
V74,1064.7
V75,1061.9
V76,1059.1
V77,1056.3
V78,1053.5
V79,1050.7
V80,1047.9
V81,1045.2
V82,1042.3
V83,1039.5
V84,1036.7
V85,1033.9
V86,1031.1
V87,1028.3
V88,1025.5
V89,1022.7
V90,1019.9
V91,1017.1
V92,1014.3
V93,1011.5
V94,1008.7
V95,1005.9
V96,1003.1
V97,1000.3
V98,997.5
V99,994.7
V100,991.9
V101,989.1
V102,986.3
V103,983.6
V104,980.7
V105,977.9
V106,975.1
V107,972.3
V108,969.6
V109,966.7
V110,1182.3
V111,1179.5
V112,1176.7
V113,1173.9
V114,1171.1
V115,1168.3
V116,1165.5
V117,1162.7
V118,1159.9
V119,1157.1
V120,1154.4
V121,1151.5
V122,1148.7
V123,1145.9
V124,1143.1
V125,1140.3
V126,1137.5
V127,1134.7
V128,1131.9
V129,1129.1
V130,1126.3
V131,1123.5
